"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.741833552E2,2.977233517E1,4.377405029E0
2.746813812E2,3.051028930E1,4.145479082E0
2.751793495E2,3.091527192E1,4.153610315E0
2.756772939E2,3.122351785E1,4.603186319E0
2.761751196E2,2.525156524E1,6.277652829E0
2.766730802E2,2.092856728E0,1.799798866E0
2.771710455E2,9.610756825E-1,2.535135413E0
2.776690109E2,1.012369443E0,1.650392179E0
2.781669171E2,1.019353680E0,3.288180909E0
2.786649033E2,9.093260156E-1,2.979464904E0
2.791628641E2,9.915455398E-1,3.382753225E0
2.796607868E2,9.920207106E-1,3.842555116E0
2.801587707E2,9.884111375E-1,3.841866539E0
2.806569427E2,9.984060790E-1,4.182168869E0
2.811549317E2,9.889442780E-1,4.332520974E0
2.816530118E2,9.923179948E-1,4.560955052E0
2.821511183E2,9.985256980E-1,4.438591805E0
2.826490045E2,9.932702746E-1,5.656476628E0
2.831468321E2,9.917830683E-1,5.154816433E0
2.836446333E2,3.471970409E0,4.581582023E0
2.841425132E2,7.764703647E0,3.232814542E0
2.846402142E2,1.199371434E1,2.815556864E0
2.851378809E2,1.499177550E1,3.990503613E0
2.856354880E2,1.803912632E1,4.118332961E0
2.861331853E2,2.015769214E1,4.988903802E0
2.866309244E2,2.176851884E1,4.760909811E0
2.871287295E2,2.405551092E1,4.509190967E0
2.876265610E2,2.483631906E1,4.643026606E0
2.881245511E2,2.574635572E1,4.438063671E0
2.886225532E2,2.666867395E1,4.183158668E0
2.891205781E2,2.746959843E1,3.938864351E0
2.896184140E2,2.844791855E1,3.620703110E0
2.901162552E2,2.925072874E1,3.628570164E0
2.906141706E2,3.002033174E1,3.508490163E0
2.911120347E2,3.059175363E1,3.224522651E0
2.916100241E2,3.114880393E1,3.392572437E0
2.921078699E2,3.181916721E1,3.217997036E0
2.931037458E2,2.698362835E1,4.383199995E0
2.936016177E2,2.196733066E0,2.644125315E0
2.940996799E2,9.611332314E-1,2.840146350E0
2.945977308E2,9.709637524E-1,3.153603931E0
2.950956757E2,9.619400077E-1,4.710180955E0
2.955935548E2,9.510081811E-1,4.529702544E0
2.960915518E2,9.647386075E-1,4.560410506E0
2.965898114E2,1.016835801E0,4.931637656E0
2.970877316E2,9.491678899E-1,6.194062902E0
2.975857465E2,1.014374225E0,5.979109511E0
2.980837352E2,1.000322759E0,5.837868612E0
2.985816918E2,1.006652786E0,5.946933839E0
2.990796569E2,1.021249904E0,6.118538948E0
2.995775328E2,1.003699232E0,6.146938880E0
3.000752365E2,1.007740402E0,6.174401981E0
