"t (s)","Tilt up/down (deg)","Tilt left/right (deg)"
2.334154790E2,2.347537075E1,-1.566881570E-1
2.339135689E2,2.160980337E1,6.577829175E-1
2.344116781E2,2.158599068E1,6.200838043E-1
2.349098914E2,2.163033904E1,5.835819066E-1
2.354079914E2,2.166200662E1,6.278235640E-1
2.359061614E2,2.135473495E1,4.872221609E-1
2.364043514E2,2.088784624E1,5.596035756E-1
2.369025780E2,2.058359880E1,1.118730914E0
2.374008335E2,2.066351721E1,1.083401325E0
2.378991189E2,2.069864309E1,1.247504613E0
2.383973736E2,2.073660231E1,1.164002545E0
2.388956343E2,2.065587466E1,1.261367998E0
2.393938717E2,2.028402375E1,9.122179858E-1
2.398920473E2,1.945440073E1,7.625012761E-1
2.403899998E2,1.963016910E1,7.647681710E-1
2.408879350E2,1.981018074E1,8.234817019E-1
2.413860430E2,2.010735141E1,9.850661593E-1
2.418841979E2,2.048178198E1,1.139647506E0
2.423824971E2,2.078765553E1,4.707636713E-1
2.428807028E2,2.156805793E1,1.112435215E0
2.433788503E2,2.200293594E1,8.575690169E-1
2.438770906E2,2.214304852E1,1.289563753E0
2.443755199E2,2.224243053E1,3.239769773E0
2.448738955E2,2.295892759E1,2.540038404E0
2.453721078E2,2.347572527E1,1.809755662E0
2.458702721E2,2.371665896E1,1.865373567E0
2.463685863E2,2.393097167E1,1.802028242E0
2.468668734E2,2.426398542E1,1.648859992E0
2.473651416E2,2.077193348E1,5.616007916E-1
2.478635742E2,2.002830686E1,6.030529823E-1
2.483618054E2,1.982459567E1,4.939481955E-1
2.488599460E2,1.956040873E1,5.503817385E-1
2.493583411E2,1.972367300E1,5.515319429E-1
2.498565869E2,1.967632600E1,8.626702452E-1
2.503547853E2,1.963913502E1,1.231510198E0
2.508530258E2,1.961250130E1,1.427208147E0
2.513512410E2,1.956819476E1,2.168517703E0
2.518493965E2,1.978127378E1,1.650248173E0
2.523475760E2,1.975317515E1,9.241037977E-1
2.528458876E2,1.996677496E1,1.220033677E0
2.533440868E2,2.060192149E1,3.795948559E0
2.538423189E2,2.172035646E1,3.263379651E0
2.543406334E2,2.230103373E1,3.456003665E0
2.548387918E2,2.209539120E1,3.608038570E0
2.553369525E2,2.293234195E1,3.676764632E0
2.558350519E2,2.323930989E1,3.740468917E0
2.563332191E2,2.390637455E1,4.212889202E0
2.568314192E2,2.445834841E1,4.386099233E0
2.573295663E2,2.488677376E1,4.166504927E0
2.578277731E2,2.522652252E1,4.549659217E0
2.588241259E2,2.566730474E1,5.012323818E0
2.593221597E2,2.424872558E1,3.141450409E0
2.598201332E2,1.898377815E1,2.444459179E0
2.603183174E2,1.948548681E1,2.453876848E0
2.608165912E2,1.935621113E1,2.529247918E0
2.613148884E2,1.943548754E1,2.747827965E0
2.618132005E2,1.933204285E1,2.563716284E0
2.623113109E2,1.964695023E1,2.920132676E0
2.628094727E2,2.102965290E1,3.173944413E0
2.633075714E2,2.139007832E1,2.764738858E0
2.638057408E2,2.187992370E1,3.581595794E0
2.643037316E2,2.269047501E1,3.873969317E0
